time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-03T08:07:00.900Z,36.0897,-97.556,4.75,2.6,mb_lg,,28,0.12,0.52,us,us1000ddik,2018-04-03T08:15:24.040Z,"15km NNE of Crescent, Oklahoma",earthquake,1.5,7.5,0.063,65,reviewed,us,us
2018-04-03T07:20:16.220Z,34.5288333,-120.5158333,3.62,2.45,ml,17,175,0.02625,0.25,ci,ci37905927,2018-04-03T07:33:52.885Z,"13km SSW of Lompoc, CA",earthquake,1.14,0.7,0.1,26,automatic,ci,ci
2018-04-03T06:51:07.460Z,-31.283,-13.3921,10,5.2,mb,,67,16.776,0.6,us,us1000ddi5,2018-04-03T07:16:28.040Z,Southern Mid-Atlantic Ridge,earthquake,9.7,1.5,0.065,77,reviewed,us,us
2018-04-03T06:49:20.880Z,19.0603,-68.5706,18,3.16,md,15,205,0.5782,0.93,pr,pr2018093002,2018-04-03T07:53:11.040Z,"37km NNE of Otra Banda, Dominican Republic",earthquake,3.4,9.92,0.39,12,reviewed,pr,pr
2018-04-03T06:33:08.610Z,40.5998344,-122.2994995,19.1,2.6,md,24,39,0.1442,0.2,nc,nc72994000,2018-04-03T08:00:03.409Z,"6km NW of Palo Cedro, CA",earthquake,0.53,0.79,0.13,28,automatic,nc,nc
2018-04-03T04:57:22.320Z,-37.3754,47.7478,10,5,mb,,61,12.379,0.84,us,us1000ddhe,2018-04-03T05:58:18.040Z,Southwest Indian Ridge,earthquake,11.6,1.8,0.08,50,reviewed,us,us
2018-04-03T03:46:22.687Z,55.947,-149.953,10,4,ml,,,,0.83,ak,ak18919420,2018-04-03T04:06:24.634Z,"253km SE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-04-03T03:46:12.010Z,36.4116669,-120.991333,5.79,2.48,md,39,111,0.0259,0.07,nc,nc72993920,2018-04-03T05:55:02.501Z,"19km SE of Pinnacles, CA",earthquake,0.28,0.55,0.17,32,automatic,nc,nc
2018-04-03T03:40:55.160Z,18.462,-67.5476,11,2.86,md,6,208,0.4364,0.09,pr,pr2018093003,2018-04-03T08:16:04.376Z,"34km WNW of Rincon, Puerto Rico",earthquake,2.46,0.86,0.14,4,reviewed,pr,pr
2018-04-03T03:12:05.300Z,36.4652,-98.7956,10.27,2.7,mb_lg,,133,0.045,0.35,us,us1000ddg1,2018-04-03T06:17:57.461Z,"35km NW of Fairview, Oklahoma",earthquake,1.3,1.7,0.053,92,reviewed,us,us
2018-04-03T01:44:36.358Z,69.184,-144.2596,0.1,2.5,ml,,,,0.77,ak,ak18917716,2018-04-03T02:02:23.046Z,"108km SSW of Kaktovik, Alaska",earthquake,,15.8,,,automatic,ak,ak
2018-04-03T01:36:14.420Z,36.3412,69.9785,132.02,4.8,mb,,66,0.918,0.93,us,us1000ddey,2018-04-03T01:49:45.040Z,"27km SSE of Farkhar, Afghanistan",earthquake,6.7,6.4,0.103,29,reviewed,us,us
2018-04-03T01:16:21.520Z,13.0538,-88.8487,61.91,4.2,mb,,194,0.731,0.73,us,us1000ddep,2018-04-03T02:28:04.538Z,"40km SW of Jiquilisco, El Salvador",earthquake,6.6,9.4,0.076,48,reviewed,us,us
2018-04-03T01:15:24.550Z,-0.1615,-78.5193,10,4.3,mb,,115,0.182,0.54,us,us1000dder,2018-04-03T07:40:21.901Z,"7km N of Quito, Ecuador",earthquake,3.4,1.9,0.107,25,reviewed,us,us
